InA=0000, InB=0000, Product=00000000, Expected=00000000
InA=0000, InB=0001, Product=00000000, Expected=00000000
InA=0000, InB=0010, Product=00000000, Expected=00000000
InA=0000, InB=0011, Product=00000000, Expected=00000000
InA=0000, InB=0100, Product=00000000, Expected=00000000
InA=0000, InB=0101, Product=00000000, Expected=00000000
InA=0000, InB=0110, Product=00000000, Expected=00000000
InA=0000, InB=0111, Product=00000000, Expected=00000000
InA=0000, InB=1000, Product=00000000, Expected=00000000
InA=0000, InB=1001, Product=00000000, Expected=00000000
InA=0000, InB=1010, Product=00000000, Expected=00000000
InA=0000, InB=1011, Product=00000000, Expected=00000000
InA=0000, InB=1100, Product=00000000, Expected=00000000
InA=0000, InB=1101, Product=00000000, Expected=00000000
InA=0000, InB=1110, Product=00000000, Expected=00000000
InA=0000, InB=1111, Product=00000000, Expected=00000000
InA=0001, InB=0000, Product=00000000, Expected=00000000
InA=0001, InB=0001, Product=00000001, Expected=00000001
InA=0001, InB=0010, Product=00000010, Expected=00000010
InA=0001, InB=0011, Product=00000011, Expected=00000011
InA=0001, InB=0100, Product=00000100, Expected=00000100
InA=0001, InB=0101, Product=00000101, Expected=00000101
InA=0001, InB=0110, Product=00000110, Expected=00000110
InA=0001, InB=0111, Product=00000111, Expected=00000111
InA=0001, InB=1000, Product=11111000, Expected=11111000
InA=0001, InB=1001, Product=11111001, Expected=11111001
InA=0001, InB=1010, Product=11111010, Expected=11111010
InA=0001, InB=1011, Product=11111011, Expected=11111011
InA=0001, InB=1100, Product=11111100, Expected=11111100
InA=0001, InB=1101, Product=11111101, Expected=11111101
InA=0001, InB=1110, Product=11111110, Expected=11111110
InA=0001, InB=1111, Product=11111111, Expected=11111111
InA=0010, InB=0000, Product=00000000, Expected=00000000
InA=0010, InB=0001, Product=00000010, Expected=00000010
InA=0010, InB=0010, Product=00000100, Expected=00000100
InA=0010, InB=0011, Product=00000110, Expected=00000110
InA=0010, InB=0100, Product=00001000, Expected=00001000
InA=0010, InB=0101, Product=00001010, Expected=00001010
InA=0010, InB=0110, Product=00001100, Expected=00001100
InA=0010, InB=0111, Product=00001110, Expected=00001110
InA=0010, InB=1000, Product=11110000, Expected=11110000
InA=0010, InB=1001, Product=11110010, Expected=11110010
InA=0010, InB=1010, Product=11110100, Expected=11110100
InA=0010, InB=1011, Product=11110110, Expected=11110110
InA=0010, InB=1100, Product=11111000, Expected=11111000
InA=0010, InB=1101, Product=11111010, Expected=11111010
InA=0010, InB=1110, Product=11111100, Expected=11111100
InA=0010, InB=1111, Product=11111110, Expected=11111110
InA=0011, InB=0000, Product=00000000, Expected=00000000
InA=0011, InB=0001, Product=00000011, Expected=00000011
InA=0011, InB=0010, Product=00000110, Expected=00000110
InA=0011, InB=0011, Product=00001001, Expected=00001001
InA=0011, InB=0100, Product=00001100, Expected=00001100
InA=0011, InB=0101, Product=00001111, Expected=00001111
InA=0011, InB=0110, Product=00010010, Expected=00010010
InA=0011, InB=0111, Product=00010101, Expected=00010101
InA=0011, InB=1000, Product=11101000, Expected=11101000
InA=0011, InB=1001, Product=11101011, Expected=11101011
InA=0011, InB=1010, Product=11101110, Expected=11101110
InA=0011, InB=1011, Product=11110001, Expected=11110001
InA=0011, InB=1100, Product=11110100, Expected=11110100
InA=0011, InB=1101, Product=11110111, Expected=11110111
InA=0011, InB=1110, Product=11111010, Expected=11111010
InA=0011, InB=1111, Product=11111101, Expected=11111101
InA=0100, InB=0000, Product=00000000, Expected=00000000
InA=0100, InB=0001, Product=00000100, Expected=00000100
InA=0100, InB=0010, Product=00001000, Expected=00001000
InA=0100, InB=0011, Product=00001100, Expected=00001100
InA=0100, InB=0100, Product=00010000, Expected=00010000
InA=0100, InB=0101, Product=00010100, Expected=00010100
InA=0100, InB=0110, Product=00011000, Expected=00011000
InA=0100, InB=0111, Product=00011100, Expected=00011100
InA=0100, InB=1000, Product=11100000, Expected=11100000
InA=0100, InB=1001, Product=11100100, Expected=11100100
InA=0100, InB=1010, Product=11101000, Expected=11101000
InA=0100, InB=1011, Product=11101100, Expected=11101100
InA=0100, InB=1100, Product=11110000, Expected=11110000
InA=0100, InB=1101, Product=11110100, Expected=11110100
InA=0100, InB=1110, Product=11111000, Expected=11111000
InA=0100, InB=1111, Product=11111100, Expected=11111100
InA=0101, InB=0000, Product=00000000, Expected=00000000
InA=0101, InB=0001, Product=00000101, Expected=00000101
InA=0101, InB=0010, Product=00001010, Expected=00001010
InA=0101, InB=0011, Product=00001111, Expected=00001111
InA=0101, InB=0100, Product=00010100, Expected=00010100
InA=0101, InB=0101, Product=00011001, Expected=00011001
InA=0101, InB=0110, Product=00011110, Expected=00011110
InA=0101, InB=0111, Product=00100011, Expected=00100011
InA=0101, InB=1000, Product=11011000, Expected=11011000
InA=0101, InB=1001, Product=11011101, Expected=11011101
InA=0101, InB=1010, Product=11100010, Expected=11100010
InA=0101, InB=1011, Product=11100111, Expected=11100111
InA=0101, InB=1100, Product=11101100, Expected=11101100
InA=0101, InB=1101, Product=11110001, Expected=11110001
InA=0101, InB=1110, Product=11110110, Expected=11110110
InA=0101, InB=1111, Product=11111011, Expected=11111011
InA=0110, InB=0000, Product=00000000, Expected=00000000
InA=0110, InB=0001, Product=00000110, Expected=00000110
InA=0110, InB=0010, Product=00001100, Expected=00001100
InA=0110, InB=0011, Product=00010010, Expected=00010010
InA=0110, InB=0100, Product=00011000, Expected=00011000
InA=0110, InB=0101, Product=00011110, Expected=00011110
InA=0110, InB=0110, Product=00100100, Expected=00100100
InA=0110, InB=0111, Product=00101010, Expected=00101010
InA=0110, InB=1000, Product=11010000, Expected=11010000
InA=0110, InB=1001, Product=11010110, Expected=11010110
InA=0110, InB=1010, Product=11011100, Expected=11011100
InA=0110, InB=1011, Product=11100010, Expected=11100010
InA=0110, InB=1100, Product=11101000, Expected=11101000
InA=0110, InB=1101, Product=11101110, Expected=11101110
InA=0110, InB=1110, Product=11110100, Expected=11110100
InA=0110, InB=1111, Product=11111010, Expected=11111010
