At time 0 ns, rst=1, load=0, shift=0, dir=0, data=00000000, ser_in=0, q=xxxxxxxx
At time 5 ns, rst=1, load=0, shift=0, dir=0, data=00000000, ser_in=0, q=00000000
At time 50 ns, rst=0, load=0, shift=0, dir=0, data=00000000, ser_in=0, q=00000000
At time 60 ns, rst=0, load=1, shift=0, dir=0, data=10101010, ser_in=0, q=00000000
At time 65 ns, rst=0, load=1, shift=0, dir=0, data=10101010, ser_in=0, q=10101010
At time 70 ns, rst=0, load=0, shift=0, dir=0, data=10101010, ser_in=0, q=10101010
At time 80 ns, rst=0, load=0, shift=1, dir=0, data=10101010, ser_in=1, q=10101010
At time 85 ns, rst=0, load=0, shift=1, dir=0, data=10101010, ser_in=1, q=01010101
At time 95 ns, rst=0, load=0, shift=1, dir=0, data=10101010, ser_in=1, q=10101011
At time 100 ns, rst=0, load=0, shift=1, dir=0, data=10101010, ser_in=0, q=10101011
At time 105 ns, rst=0, load=0, shift=1, dir=0, data=10101010, ser_in=0, q=01010110
At time 110 ns, rst=0, load=0, shift=1, dir=1, data=10101010, ser_in=0, q=01010110
At time 115 ns, rst=0, load=0, shift=1, dir=1, data=10101010, ser_in=0, q=00101011
At time 120 ns, rst=0, load=0, shift=1, dir=1, data=10101010, ser_in=1, q=00101011
At time 125 ns, rst=0, load=0, shift=1, dir=1, data=10101010, ser_in=1, q=10010101
At time 135 ns, rst=0, load=0, shift=1, dir=1, data=10101010, ser_in=1, q=11001010
At time 140 ns, rst=0, load=0, shift=0, dir=1, data=10101010, ser_in=0, q=11001010
At time 150 ns, rst=0, load=0, shift=0, dir=1, data=10101010, ser_in=1, q=11001010
